year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
1950,ACCESS-ESM1-5,r1i1p1f1,historical,0.98,0.59,1.39,2.04,0.51,2.49,0.17,0.93
1950,ACCESS-ESM1-5,r2i1p1f1,historical,5.8,3.35,8.2,1.58,3.54,1.26,7.86,6.06
1951,ACCESS-ESM1-5,r1i1p1f1,historical,1.85,1.29,3.59,1.91,5.69,1.25,5.41,3.57
1951,ACCESS-ESM1-5,r2i1p1f1,historical,1.8,1.3,3.27,4.54,1.36,5.34,2.61,2.52
1952,ACCESS-ESM1-5,r1i1p1f1,historical,9.99,6.89,5.33,5.49,8.51,1.4,6.02,6.8
1952,ACCESS-ESM1-5,r2i1p1f1,historical,5.42,6.49,3.97,5.26,5.5,0.94,4.55,4.72
1953,ACCESS-ESM1-5,r1i1p1f1,historical,8.5,12.37,1.24,6.11,2.97,5.26,0.23,4.02
1953,ACCESS-ESM1-5,r2i1p1f1,historical,21.71,20.48,9.1,11.9,3.71,1.92,4.53,10.62
1954,ACCESS-ESM1-5,r1i1p1f1,historical,15.86,7.78,5.9,5.67,3.02,0.91,5.37,7.22
1954,ACCESS-ESM1-5,r2i1p1f1,historical,11.28,10.11,3.51,2.73,5.96,2.2,2.33,5.65
1955,ACCESS-ESM1-5,r1i1p1f1,historical,5.87,10.31,2.55,5.48,2.46,0.52,1.38,3.65
1955,ACCESS-ESM1-5,r2i1p1f1,historical,0.14,0.34,2.75,0.68,3.3,0.53,3.1,2.02
1956,ACCESS-ESM1-5,r1i1p1f1,historical,0.18,1.85,0.35,1.31,3.05,2.05,0.07,0.9
1956,ACCESS-ESM1-5,r2i1p1f1,historical,5.64,3.76,2.5,1.83,2.48,0.6,3.14,3.24
1957,ACCESS-ESM1-5,r1i1p1f1,historical,2.41,1.83,5.53,2.26,3.08,1.94,6.93,4.27
1957,ACCESS-ESM1-5,r2i1p1f1,historical,5.02,9.45,6.13,7.15,2.8,4.27,6.84,5.83
1958,ACCESS-ESM1-5,r1i1p1f1,historical,1.33,0.54,1.59,2.38,4.27,6.49,1.62,2.08
1958,ACCESS-ESM1-5,r2i1p1f1,historical,0.19,0.91,0.48,2.61,3.6,2.34,0.61,1.09
1959,ACCESS-ESM1-5,r1i1p1f1,historical,0.03,0.41,2.4,1.3,5.83,5.75,3.71,2.65
1959,ACCESS-ESM1-5,r2i1p1f1,historical,2.08,3.31,2.77,3.34,4.09,2.85,8.18,3.99
