year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
1950,ACCESS-ESM1-5,r1i1p1f1,historical,0.98,0.59,1.39,2.04,0.51,2.49,0.17,0.93
1951,ACCESS-ESM1-5,r1i1p1f1,historical,1.85,1.29,3.59,1.91,5.69,1.25,5.41,3.57
1952,ACCESS-ESM1-5,r1i1p1f1,historical,9.99,6.89,5.33,5.49,8.51,1.4,6.02,6.8
1953,ACCESS-ESM1-5,r1i1p1f1,historical,8.5,12.37,1.24,6.11,2.97,5.26,0.23,4.02
1954,ACCESS-ESM1-5,r1i1p1f1,historical,15.86,7.78,5.9,5.67,3.02,0.91,5.37,7.22
1955,ACCESS-ESM1-5,r1i1p1f1,historical,5.87,10.31,2.55,5.48,2.46,0.52,1.38,3.65
1956,ACCESS-ESM1-5,r1i1p1f1,historical,0.18,1.85,0.35,1.31,3.05,2.05,0.07,0.9
1957,ACCESS-ESM1-5,r1i1p1f1,historical,2.41,1.83,5.53,2.26,3.08,1.94,6.93,4.27
1958,ACCESS-ESM1-5,r1i1p1f1,historical,1.33,0.54,1.59,2.38,4.27,6.49,1.62,2.08
1959,ACCESS-ESM1-5,r1i1p1f1,historical,0.03,0.41,2.4,1.3,5.83,5.75,3.71,2.65
1960,ACCESS-ESM1-5,r1i1p1f1,historical,0.0,0.0,0.02,0.44,1.84,0.67,0.34,0.38
1961,ACCESS-ESM1-5,r1i1p1f1,historical,0.18,0.0,1.1,1.65,1.41,0.61,0.25,0.69
1962,ACCESS-ESM1-5,r1i1p1f1,historical,4.49,1.72,2.44,1.21,2.46,1.13,3.78,2.95
1963,ACCESS-ESM1-5,r1i1p1f1,historical,1.55,3.26,8.54,5.12,7.4,6.02,6.91,6.02
1964,ACCESS-ESM1-5,r1i1p1f1,historical,0.83,0.37,0.35,2.33,2.93,0.95,1.34,1.1
1965,ACCESS-ESM1-5,r1i1p1f1,historical,8.82,5.74,6.82,5.49,1.46,1.42,5.57,5.79
1966,ACCESS-ESM1-5,r1i1p1f1,historical,3.77,9.84,3.66,8.7,4.02,2.76,1.23,3.92
1967,ACCESS-ESM1-5,r1i1p1f1,historical,0.0,0.55,0.51,2.03,2.48,4.51,0.34,0.89
1968,ACCESS-ESM1-5,r1i1p1f1,historical,2.78,6.57,3.47,4.45,1.54,9.27,3.39,3.61
1969,ACCESS-ESM1-5,r1i1p1f1,historical,1.63,2.1,2.54,2.36,6.07,4.93,3.86,3.21
1970,ACCESS-ESM1-5,r1i1p1f1,historical,8.34,2.84,6.06,3.76,3.47,7.09,5.38,5.66
1971,ACCESS-ESM1-5,r1i1p1f1,historical,10.77,14.78,3.67,7.98,2.91,4.45,0.99,5.56
1972,ACCESS-ESM1-5,r1i1p1f1,historical,3.11,5.69,2.94,3.43,2.77,4.58,1.76,3.05
1973,ACCESS-ESM1-5,r1i1p1f1,historical,2.71,9.72,6.02,5.45,3.13,7.37,3.8,4.91
1974,ACCESS-ESM1-5,r1i1p1f1,historical,1.39,7.01,5.41,6.07,3.7,13.52,3.84,4.6
1975,ACCESS-ESM1-5,r1i1p1f1,historical,0.83,2.5,1.99,2.68,1.16,2.27,3.3,1.99
1976,ACCESS-ESM1-5,r1i1p1f1,historical,1.21,1.1,2.44,2.63,4.28,0.84,6.13,3.03
1977,ACCESS-ESM1-5,r1i1p1f1,historical,0.09,3.07,2.38,5.21,5.16,3.96,2.26,2.54
1978,ACCESS-ESM1-5,r1i1p1f1,historical,0.0,0.9,1.87,1.45,2.12,2.62,2.9,1.69
1979,ACCESS-ESM1-5,r1i1p1f1,historical,0.59,4.1,2.86,1.0,1.83,1.61,4.09,2.54
1980,ACCESS-ESM1-5,r1i1p1f1,historical,6.03,5.04,4.85,1.28,5.31,4.21,7.71,5.61
1981,ACCESS-ESM1-5,r1i1p1f1,historical,1.66,1.1,5.76,2.93,2.91,4.95,5.88,4.04
1982,ACCESS-ESM1-5,r1i1p1f1,historical,0.76,0.41,2.47,1.58,2.36,6.02,0.97,1.77
