year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
1950,ACCESS-ESM1-5,r1i1p1f1,historical,33.77,22.46,32.0,35.8,42.76,8.59,38.27,33.35
1950,ACCESS-ESM1-5,r2i1p1f1,historical,45.39,37.52,41.47,32.22,54.22,7.2,51.2,43.91
1951,ACCESS-ESM1-5,r1i1p1f1,historical,38.49,30.01,34.18,34.79,56.65,7.69,50.21,39.98
1951,ACCESS-ESM1-5,r2i1p1f1,historical,40.3,28.99,35.04,38.57,46.24,9.67,49.19,38.94
1952,ACCESS-ESM1-5,r1i1p1f1,historical,48.22,41.62,38.32,54.88,63.28,7.15,58.57,47.32
1952,ACCESS-ESM1-5,r2i1p1f1,historical,49.86,41.65,34.38,42.43,57.26,6.67,51.73,43.85
1953,ACCESS-ESM1-5,r1i1p1f1,historical,49.5,47.51,30.54,50.23,52.17,9.44,40.99,40.6
1953,ACCESS-ESM1-5,r2i1p1f1,historical,69.12,48.51,41.24,56.19,63.46,7.96,55.21,52.23
1954,ACCESS-ESM1-5,r1i1p1f1,historical,57.13,52.61,40.63,46.41,55.34,6.72,54.67,48.53
1954,ACCESS-ESM1-5,r2i1p1f1,historical,58.91,47.03,36.16,39.12,59.64,6.81,48.45,46.21
1955,ACCESS-ESM1-5,r1i1p1f1,historical,48.15,56.96,36.19,54.69,49.3,6.71,46.17,43.54
1955,ACCESS-ESM1-5,r2i1p1f1,historical,30.35,25.43,33.98,29.59,53.1,7.01,50.27,37.26
1956,ACCESS-ESM1-5,r1i1p1f1,historical,28.33,35.14,28.15,33.03,47.44,8.06,37.53,32.79
1956,ACCESS-ESM1-5,r2i1p1f1,historical,46.04,37.79,34.14,37.15,48.22,5.79,47.33,40.3
1957,ACCESS-ESM1-5,r1i1p1f1,historical,42.11,30.21,36.54,35.32,50.86,6.64,52.98,41.07
1957,ACCESS-ESM1-5,r2i1p1f1,historical,43.28,43.32,37.01,48.23,49.56,10.43,52.28,42.84
1958,ACCESS-ESM1-5,r1i1p1f1,historical,35.17,28.4,32.53,33.05,54.71,8.55,47.31,37.83
1958,ACCESS-ESM1-5,r2i1p1f1,historical,30.03,32.73,28.84,39.22,53.38,8.43,42.81,35.22
1959,ACCESS-ESM1-5,r1i1p1f1,historical,22.12,20.62,32.5,32.77,58.69,8.93,58.24,37.4
1959,ACCESS-ESM1-5,r2i1p1f1,historical,41.99,33.15,32.74,40.43,51.53,9.8,52.67,40.5
1960,ACCESS-ESM1-5,r1i1p1f1,historical,20.6,12.24,22.85,33.7,46.08,6.53,40.86,28.03
1960,ACCESS-ESM1-5,r2i1p1f1,historical,47.58,40.02,37.41,43.36,51.21,9.33,51.78,43.43
1961,ACCESS-ESM1-5,r1i1p1f1,historical,27.39,13.44,30.65,32.46,46.13,6.58,42.6,32.08
1961,ACCESS-ESM1-5,r2i1p1f1,historical,39.45,34.63,36.33,44.9,54.83,10.06,48.29,40.95
1962,ACCESS-ESM1-5,r1i1p1f1,historical,43.32,30.61,33.72,31.12,47.85,7.6,50.82,39.55
1962,ACCESS-ESM1-5,r2i1p1f1,historical,27.38,27.46,34.2,35.3,55.52,9.24,51.63,37.83
1963,ACCESS-ESM1-5,r1i1p1f1,historical,34.54,35.35,39.87,42.15,56.79,8.35,52.58,42.14
1963,ACCESS-ESM1-5,r2i1p1f1,historical,35.54,28.6,33.16,37.05,50.78,6.52,50.86,38.26
1964,ACCESS-ESM1-5,r1i1p1f1,historical,35.81,21.27,28.85,38.63,48.73,6.85,45.0,34.92
1964,ACCESS-ESM1-5,r2i1p1f1,historical,64.59,35.88,42.08,44.55,61.93,6.22,57.41,50.26
1965,ACCESS-ESM1-5,r1i1p1f1,historical,59.14,43.86,41.91,47.17,47.03,6.99,54.88,47.34
1965,ACCESS-ESM1-5,r2i1p1f1,historical,42.51,31.56,37.17,41.69,50.61,7.25,53.13,41.65
1966,ACCESS-ESM1-5,r1i1p1f1,historical,48.57,45.13,33.7,42.77,47.95,8.69,47.94,41.7
1966,ACCESS-ESM1-5,r2i1p1f1,historical,22.69,25.47,33.12,36.7,52.14,7.97,43.87,34.35
1967,ACCESS-ESM1-5,r1i1p1f1,historical,23.48,29.73,29.18,34.76,42.13,8.37,41.17,31.69
1967,ACCESS-ESM1-5,r2i1p1f1,historical,31.23,23.42,36.98,37.84,54.98,7.14,51.0,38.78
1968,ACCESS-ESM1-5,r1i1p1f1,historical,41.82,41.12,34.66,44.52,47.38,10.43,49.19,40.62
1968,ACCESS-ESM1-5,r2i1p1f1,historical,32.61,32.17,38.83,46.61,57.69,9.82,50.41,41.04
1969,ACCESS-ESM1-5,r1i1p1f1,historical,38.06,34.62,33.34,43.92,53.52,8.98,51.72,40.23
1969,ACCESS-ESM1-5,r2i1p1f1,historical,33.75,22.56,39.0,29.78,53.37,8.03,55.24,40.23
1970,ACCESS-ESM1-5,r1i1p1f1,historical,51.47,33.97,40.18,39.1,51.82,9.31,52.18,44.48
1970,ACCESS-ESM1-5,r2i1p1f1,historical,25.94,29.4,33.21,46.97,42.82,7.77,44.03,34.3
1971,ACCESS-ESM1-5,r1i1p1f1,historical,56.58,54.23,34.14,59.95,50.54,9.01,45.28,44.52
1971,ACCESS-ESM1-5,r2i1p1f1,historical,38.52,30.26,35.08,35.58,51.23,9.03,53.73,40.28
1972,ACCESS-ESM1-5,r1i1p1f1,historical,46.35,45.42,34.37,39.54,48.59,8.91,46.71,41.27
1972,ACCESS-ESM1-5,r2i1p1f1,historical,35.74,51.12,36.89,59.39,57.02,10.6,57.01,44.45
1973,ACCESS-ESM1-5,r1i1p1f1,historical,44.11,44.86,40.16,48.21,54.8,9.9,53.3,45.02
1973,ACCESS-ESM1-5,r2i1p1f1,historical,35.19,26.4,34.53,30.99,46.89,10.23,48.42,37.34
1974,ACCESS-ESM1-5,r1i1p1f1,historical,39.48,39.63,41.92,46.85,50.44,12.05,50.96,43.13
1974,ACCESS-ESM1-5,r2i1p1f1,historical,15.58,14.49,41.86,25.14,47.87,7.16,51.03,35.04
1975,ACCESS-ESM1-5,r1i1p1f1,historical,31.08,37.93,33.37,43.06,46.86,7.47,51.2,38.05
1975,ACCESS-ESM1-5,r2i1p1f1,historical,41.88,26.13,31.07,44.34,50.52,7.48,47.12,38.06
1976,ACCESS-ESM1-5,r1i1p1f1,historical,37.34,29.82,34.77,38.6,55.4,5.88,53.21,40.36
1976,ACCESS-ESM1-5,r2i1p1f1,historical,65.93,38.25,39.28,40.17,54.33,8.84,55.61,48.43
1977,ACCESS-ESM1-5,r1i1p1f1,historical,29.21,32.39,34.26,35.95,57.84,9.38,47.78,38.24
1977,ACCESS-ESM1-5,r2i1p1f1,historical,51.21,55.92,31.93,60.78,48.85,8.52,44.57,42.61
1978,ACCESS-ESM1-5,r1i1p1f1,historical,28.01,28.03,32.74,35.31,49.27,8.05,48.14,35.9
1978,ACCESS-ESM1-5,r2i1p1f1,historical,26.41,27.84,32.71,40.91,44.12,7.72,44.18,34.16
