year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
1950,ACCESS-ESM1-5,r1i1p1f1,historical,33.77,22.46,32.0,35.8,42.76,8.59,38.27,33.35
1951,ACCESS-ESM1-5,r1i1p1f1,historical,38.49,30.01,34.18,34.79,56.65,7.69,50.21,39.98
1952,ACCESS-ESM1-5,r1i1p1f1,historical,48.22,41.62,38.32,54.88,63.28,7.15,58.57,47.32
1953,ACCESS-ESM1-5,r1i1p1f1,historical,49.5,47.51,30.54,50.23,52.17,9.44,40.99,40.6
1954,ACCESS-ESM1-5,r1i1p1f1,historical,57.13,52.61,40.63,46.41,55.34,6.72,54.67,48.53
1955,ACCESS-ESM1-5,r1i1p1f1,historical,48.15,56.96,36.19,54.69,49.3,6.71,46.17,43.54
1956,ACCESS-ESM1-5,r1i1p1f1,historical,28.33,35.14,28.15,33.03,47.44,8.06,37.53,32.79
1957,ACCESS-ESM1-5,r1i1p1f1,historical,42.11,30.21,36.54,35.32,50.86,6.64,52.98,41.07
1958,ACCESS-ESM1-5,r1i1p1f1,historical,35.17,28.4,32.53,33.05,54.71,8.55,47.31,37.83
1959,ACCESS-ESM1-5,r1i1p1f1,historical,22.12,20.62,32.5,32.77,58.69,8.93,58.24,37.4
1960,ACCESS-ESM1-5,r1i1p1f1,historical,20.6,12.24,22.85,33.7,46.08,6.53,40.86,28.03
1961,ACCESS-ESM1-5,r1i1p1f1,historical,27.39,13.44,30.65,32.46,46.13,6.58,42.6,32.08
1962,ACCESS-ESM1-5,r1i1p1f1,historical,43.32,30.61,33.72,31.12,47.85,7.6,50.82,39.55
1963,ACCESS-ESM1-5,r1i1p1f1,historical,34.54,35.35,39.87,42.15,56.79,8.35,52.58,42.14
1964,ACCESS-ESM1-5,r1i1p1f1,historical,35.81,21.27,28.85,38.63,48.73,6.85,45.0,34.92
1965,ACCESS-ESM1-5,r1i1p1f1,historical,59.14,43.86,41.91,47.17,47.03,6.99,54.88,47.34
1966,ACCESS-ESM1-5,r1i1p1f1,historical,48.57,45.13,33.7,42.77,47.95,8.69,47.94,41.7
1967,ACCESS-ESM1-5,r1i1p1f1,historical,23.48,29.73,29.18,34.76,42.13,8.37,41.17,31.69
1968,ACCESS-ESM1-5,r1i1p1f1,historical,41.82,41.12,34.66,44.52,47.38,10.43,49.19,40.62
1969,ACCESS-ESM1-5,r1i1p1f1,historical,38.06,34.62,33.34,43.92,53.52,8.98,51.72,40.23
1970,ACCESS-ESM1-5,r1i1p1f1,historical,51.47,33.97,40.18,39.1,51.82,9.31,52.18,44.48
1971,ACCESS-ESM1-5,r1i1p1f1,historical,56.58,54.23,34.14,59.95,50.54,9.01,45.28,44.52
1972,ACCESS-ESM1-5,r1i1p1f1,historical,46.35,45.42,34.37,39.54,48.59,8.91,46.71,41.27
1973,ACCESS-ESM1-5,r1i1p1f1,historical,44.11,44.86,40.16,48.21,54.8,9.9,53.3,45.02
1974,ACCESS-ESM1-5,r1i1p1f1,historical,39.48,39.63,41.92,46.85,50.44,12.05,50.96,43.13
1975,ACCESS-ESM1-5,r1i1p1f1,historical,31.08,37.93,33.37,43.06,46.86,7.47,51.2,38.05
1976,ACCESS-ESM1-5,r1i1p1f1,historical,37.34,29.82,34.77,38.6,55.4,5.88,53.21,40.36
1977,ACCESS-ESM1-5,r1i1p1f1,historical,29.21,32.39,34.26,35.95,57.84,9.38,47.78,38.24
