year,month,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS
1850,1,ACCESS-CM2,r10i1p1f1,historical,,,,,,,,
1850,2,ACCESS-CM2,r10i1p1f1,historical,,,,,,,,
1850,3,ACCESS-CM2,r10i1p1f1,historical,,,,,,,,
1850,4,ACCESS-CM2,r10i1p1f1,historical,,,,,,,,
1850,5,ACCESS-CM2,r10i1p1f1,historical,,,,,,,,
1850,6,ACCESS-CM2,r10i1p1f1,historical,,,,,,,,
1850,7,ACCESS-CM2,r10i1p1f1,historical,,,,,,,,
1850,8,ACCESS-CM2,r10i1p1f1,historical,,,,,,,,
1850,9,ACCESS-CM2,r10i1p1f1,historical,,,,,,,,
1850,10,ACCESS-CM2,r10i1p1f1,historical,,,,,,,,
1850,11,ACCESS-CM2,r10i1p1f1,historical,,,,,,,,
1850,12,ACCESS-CM2,r10i1p1f1,historical,-0.98,-0.25,-0.41,0.42,0.98,-0.83,-0.15,0.14
1850,1,ACCESS-CM2,r1i1p1f1,historical,,,,,,,,
1850,2,ACCESS-CM2,r1i1p1f1,historical,,,,,,,,
1850,3,ACCESS-CM2,r1i1p1f1,historical,,,,,,,,
1850,4,ACCESS-CM2,r1i1p1f1,historical,,,,,,,,
1850,5,ACCESS-CM2,r1i1p1f1,historical,,,,,,,,
1850,6,ACCESS-CM2,r1i1p1f1,historical,,,,,,,,
1850,7,ACCESS-CM2,r1i1p1f1,historical,,,,,,,,
1850,8,ACCESS-CM2,r1i1p1f1,historical,,,,,,,,
1850,9,ACCESS-CM2,r1i1p1f1,historical,,,,,,,,
1850,10,ACCESS-CM2,r1i1p1f1,historical,,,,,,,,
1850,11,ACCESS-CM2,r1i1p1f1,historical,,,,,,,,
1850,12,ACCESS-CM2,r1i1p1f1,historical,-0.91,-0.17,-1.24,-0.15,-0.42,0.28,-0.26,-0.58
1850,1,ACCESS-CM2,r2i1p1f1,historical,,,,,,,,
1850,2,ACCESS-CM2,r2i1p1f1,historical,,,,,,,,
1850,3,ACCESS-CM2,r2i1p1f1,historical,,,,,,,,
1850,4,ACCESS-CM2,r2i1p1f1,historical,,,,,,,,
1850,5,ACCESS-CM2,r2i1p1f1,historical,,,,,,,,
