Metric: WSDI
Threshold: 98.0 percentile over the 1950-2014 period
Model: ACCESS-CM2
Experiment: ssp245
Runs: ['r10i1p1f1', 'r1i1p1f1', 'r2i1p1f1', 'r3i1p1f1', 'r4i1p1f1', 'r5i1p1f1', 'r6i1p1f1', 'r7i1p1f1', 'r8i1p1f1', 'r9i1p1f1']
Description: Probability (%) of exceeding the threshold, calculated empirically across all model runs for a 20-year rolling window centered on each year
File history: Tue Nov 18 10:46:04 2025: /g/data/xv83/dbi599/miniconda3/envs/unseen/bin/python likelihoods.py /g/data/xv83/dbi599/rba/WSDI/ACCESS-CM2/ssp245/wsdi_yr_ACCESS-CM2_ssp245_ensemble_aus-states-cities_1850-2100.csv WSDI /g/data/xv83/dbi599/rba/WSDI/ACCESS-CM2/ssp245
year,NSW,VIC,QLD,SA,WA,TAS,NT,AUS,Melbourne,Sydney,Brisbane,Darwin,Perth,Adelaide,Hobart
1860,1.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5
1861,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5
1862,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5
1863,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0
1864,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0
1865,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1866,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0
1867,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0
1868,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.5,0.0,0.0
1869,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.5,0.0,0.0
1870,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.5,0.0,0.0
1871,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.5,0.0,0.0
1872,1.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.5,0.5,0.0,0.5,0.0,0.0
1873,1.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.5,0.5,0.0,0.5,0.0,0.0
1874,1.0,1.0,0.0,1.5,0.0,0.0,0.5,0.0,0.5,1.5,0.5,0.0,0.5,0.5,0.0
1875,1.0,1.0,0.0,1.5,0.0,0.0,0.5,0.0,0.5,1.5,0.5,0.0,0.5,0.5,0.0
1876,1.0,1.0,0.0,1.5,0.0,0.0,0.5,0.0,0.5,1.5,0.5,0.0,1.0,0.5,0.0
1877,1.0,1.0,0.0,1.5,0.0,0.0,0.5,0.0,0.5,1.5,0.5,0.0,1.0,0.5,0.0
1878,1.0,1.0,0.0,1.5,0.0,0.0,0.5,0.0,0.5,1.5,0.5,0.0,1.0,1.0,0.0
1879,0.5,1.0,0.0,1.5,0.0,0.0,0.5,0.0,0.5,1.5,0.0,0.0,1.0,1.0,0.0
1880,1.0,1.0,0.0,1.5,0.0,0.0,0.5,0.0,0.5,1.5,0.0,0.0,1.0,1.0,0.5
1881,1.0,1.0,0.0,1.5,0.0,0.0,0.5,0.0,0.5,1.5,0.0,0.0,1.0,1.0,0.5
1882,1.0,1.5,0.0,1.5,0.0,0.0,0.5,0.0,1.0,1.5,0.0,0.0,1.5,1.0,0.5
1883,1.0,2.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.5,0.0,0.0,1.5,1.5,0.5
1884,1.0,2.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.5,0.0,0.0,1.5,1.5,0.5
1885,1.0,2.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.5,0.0,0.0,1.5,1.5,0.5
1886,1.0,2.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.5,0.0,0.0,1.0,1.5,0.5
1887,1.0,2.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.5,0.0,0.0,1.0,1.5,0.5
1888,1.0,2.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.5,0.5
1889,1.0,2.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.5,0.5
1890,1.0,2.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.0,1.0,1.5,0.5
1891,1.0,2.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.0,1.0,1.5,0.5
1892,1.0,2.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,1.0,1.5,1.0
1893,1.0,2.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,1.0,1.5,1.0
1894,0.5,2.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.5
1895,0.5,2.5,0.5,0.5,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,1.0,1.0,1.5
1896,0.5,2.5,0.5,1.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.5,1.0,1.5
1897,0.5,2.5,0.5,1.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.5,1.0,1.5
1898,0.5,2.0,0.5,1.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.5,1.5
1899,0.5,2.0,0.5,1.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.5,1.5
1900,0.0,2.0,0.5,1.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.5,1.0
1901,0.0,2.5,0.5,1.0,0.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.5,1.5
1902,0.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,1.5
1903,0.5,1.5,0.5,1.5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.5
1904,0.5,1.5,0.5,1.5,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,1.5
1905,0.5,1.5,0.5,1.5,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,1.5
1906,0.5,1.5,0.5,1.5,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,1.5
1907,0.5,1.5,0.5,1.5,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,1.5
1908,0.5,1.5,0.5,1.5,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,2.0
1909,0.5,2.0,0.5,1.5,0.0,1.0,0.0,0.0,1.5,0.5,0.5,0.0,0.0,0.0,2.0
1910,0.5,2.0,0.5,1.5,0.5,1.0,0.0,0.0,1.5,0.5,0.5,0.0,0.0,0.0,2.0
1911,0.5,2.5,0.5,1.5,0.5,1.0,0.0,0.0,1.5,0.5,0.5,0.0,0.0,0.0,2.0
1912,0.5,2.5,0.5,1.5,0.5,0.5,0.0,0.0,1.5,0.5,0.5,0.0,0.0,0.0,1.5
1913,0.5,2.5,0.5,1.5,0.5,0.5,0.0,0.0,1.5,0.5,0.5,0.0,0.0,0.0,1.5
1914,0.5,2.0,0.5,1.5,0.5,0.5,0.0,0.0,1.5,1.0,0.5,0.0,0.0,0.0,1.0
1915,1.0,1.5,0.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0
1916,1.0,2.0,0.0,0.5,0.5,1.0,0.0,0.0,1.5,1.0,0.5,0.0,0.0,0.0,1.0
1917,1.0,2.5,0.0,0.5,0.5,1.0,0.0,0.0,1.5,1.0,0.5,0.0,0.0,0.0,1.0
1918,1.0,2.5,0.0,0.5,0.5,1.0,0.0,0.0,1.5,1.0,0.5,0.0,0.0,0.0,1.0
1919,1.5,3.0,0.0,1.0,0.5,1.0,0.0,0.0,1.5,1.5,0.5,0.0,0.0,0.5,1.0
1920,1.5,3.0,0.0,1.0,0.5,1.0,0.0,0.0,1.5,1.5,1.0,0.5,0.0,0.5,1.0
1921,1.5,3.0,0.0,1.0,0.5,0.5,0.0,0.0,1.5,2.0,1.0,0.5,0.0,1.0,0.5
1922,1.5,3.0,0.0,1.0,0.5,0.5,0.0,0.0,1.5,2.0,0.5,0.5,0.0,1.0,0.5
1923,1.0,3.0,0.0,0.5,0.5,0.5,0.0,0.0,1.5,2.0,0.5,0.5,0.0,1.5,0.5
1924,1.0,3.0,0.0,1.0,0.5,0.5,0.0,0.0,2.0,1.5,0.5,0.5,0.5,1.5,0.5
1925,1.0,3.5,0.0,1.0,0.5,1.0,0.0,0.0,2.0,1.5,0.5,0.5,0.5,1.5,1.0
1926,1.0,3.5,0.0,1.0,0.5,1.0,0.0,0.0,2.0,2.0,0.5,0.5,0.5,1.5,1.5
