year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS,Melbourne,Sydney,Brisbane,Darwin,Perth,Adelaide,Hobart
1850,ACCESS-CM2,r10i1p1f1,historical,4.41,1.84,4.96,3.53,3.07,0.0,4.62,3.9,0.0,0.0,0.0,0.0,6.0,0.0,0.0
1850,ACCESS-CM2,r1i1p1f1,historical,12.43,2.15,12.32,7.01,11.99,0.0,10.02,10.73,0.0,13.0,12.0,0.0,6.0,0.0,0.0
1850,ACCESS-CM2,r2i1p1f1,historical,7.09,6.5,4.51,4.15,8.09,2.93,3.65,5.8,7.0,6.0,6.0,0.0,0.0,6.0,0.0
1850,ACCESS-CM2,r3i1p1f1,historical,1.78,0.0,1.34,0.4,0.12,0.0,1.73,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1850,ACCESS-CM2,r4i1p1f1,historical,1.61,0.0,0.3,1.03,2.74,0.0,2.5,1.71,0.0,0.0,0.0,6.0,6.0,0.0,0.0
1850,ACCESS-CM2,r5i1p1f1,historical,2.4,5.16,8.78,1.01,7.77,2.81,9.63,6.78,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1850,ACCESS-CM2,r6i1p1f1,historical,5.04,0.18,2.21,1.36,4.73,0.0,4.24,3.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0
1850,ACCESS-CM2,r7i1p1f1,historical,3.92,4.81,4.57,2.49,5.73,0.0,1.17,3.99,0.0,0.0,0.0,0.0,0.0,6.0,0.0
1850,ACCESS-CM2,r8i1p1f1,historical,2.62,0.0,3.79,1.5,2.68,0.0,4.63,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1850,ACCESS-CM2,r9i1p1f1,historical,22.35,5.07,11.45,13.27,7.74,0.47,7.9,10.69,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1851,ACCESS-CM2,r10i1p1f1,historical,7.53,4.59,8.24,1.9,3.41,0.0,10.34,5.95,0.0,0.0,0.0,16.0,6.0,0.0,0.0
1851,ACCESS-CM2,r1i1p1f1,historical,2.74,1.71,3.82,0.44,4.36,0.0,4.87,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1851,ACCESS-CM2,r2i1p1f1,historical,7.23,0.0,26.19,0.55,8.42,0.0,33.3,15.33,0.0,6.0,15.0,67.0,0.0,0.0,0.0
1851,ACCESS-CM2,r3i1p1f1,historical,2.48,5.85,5.63,1.73,0.89,0.0,14.18,4.7,0.0,0.0,0.0,33.0,0.0,0.0,0.0
1851,ACCESS-CM2,r4i1p1f1,historical,1.76,0.0,4.13,0.43,5.41,2.94,4.05,3.68,0.0,0.0,0.0,0.0,0.0,0.0,6.0
1851,ACCESS-CM2,r5i1p1f1,historical,6.91,1.48,8.49,0.95,4.02,0.0,0.97,4.29,6.0,0.0,15.0,0.0,0.0,0.0,0.0
1851,ACCESS-CM2,r6i1p1f1,historical,3.92,6.66,0.37,1.43,0.13,0.0,0.09,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1851,ACCESS-CM2,r7i1p1f1,historical,5.91,1.41,11.64,1.37,1.09,0.0,6.42,4.94,0.0,0.0,0.0,21.0,0.0,0.0,0.0
1851,ACCESS-CM2,r8i1p1f1,historical,3.47,8.61,0.1,2.19,0.44,0.64,0.14,1.09,10.0,8.0,0.0,0.0,0.0,9.0,0.0
1851,ACCESS-CM2,r9i1p1f1,historical,1.25,0.83,2.65,0.27,1.79,0.0,1.62,1.66,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1852,ACCESS-CM2,r10i1p1f1,historical,2.89,0.49,3.56,0.68,1.93,0.0,5.23,2.76,0.0,0.0,15.0,7.0,0.0,0.0,0.0
1852,ACCESS-CM2,r1i1p1f1,historical,10.99,0.72,17.12,4.71,2.74,0.0,12.53,8.72,0.0,0.0,12.0,16.0,0.0,0.0,0.0
1852,ACCESS-CM2,r2i1p1f1,historical,2.78,1.42,2.59,3.63,0.34,0.0,0.63,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1852,ACCESS-CM2,r3i1p1f1,historical,2.69,1.26,0.39,0.89,2.81,0.0,2.91,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
