year,model,run,experiment,NSW,VIC,QLD,SA,WA,TAS,NT,AUS,Melbourne,Sydney,Brisbane,Darwin,Perth,Adelaide,Hobart
1850,MPI-ESM1-2-LR,r10i1p1f1,historical,0.59,0.0,1.93,0.0,0.33,0.0,0.5,0.69,0.0,0.0,0.0,6.0,0.0,0.0,0.0
1850,MPI-ESM1-2-LR,r1i1p1f1,historical,1.74,3.72,2.91,2.01,1.54,0.0,4.45,2.49,0.0,0.0,0.0,0.0,6.0,6.0,0.0
1850,MPI-ESM1-2-LR,r2i1p1f1,historical,2.76,0.0,29.48,2.68,5.51,0.0,37.54,15.61,0.0,0.0,8.0,16.0,0.0,0.0,0.0
1850,MPI-ESM1-2-LR,r3i1p1f1,historical,1.56,1.13,1.88,0.57,4.38,0.0,2.95,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1850,MPI-ESM1-2-LR,r4i1p1f1,historical,1.27,0.77,2.22,1.55,0.24,0.0,0.48,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1850,MPI-ESM1-2-LR,r5i1p1f1,historical,0.08,0.0,1.39,1.59,1.56,0.0,1.38,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1850,MPI-ESM1-2-LR,r6i1p1f1,historical,0.98,0.77,9.0,0.88,4.85,0.0,9.94,5.58,0.0,0.0,0.0,9.0,6.0,0.0,0.0
1850,MPI-ESM1-2-LR,r7i1p1f1,historical,0.22,4.01,5.66,2.11,7.83,10.58,15.21,7.01,0.0,0.0,0.0,14.0,0.0,0.0,9.0
1850,MPI-ESM1-2-LR,r8i1p1f1,historical,3.61,1.01,10.17,5.78,4.64,0.0,14.26,7.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1850,MPI-ESM1-2-LR,r9i1p1f1,historical,11.24,0.67,3.83,4.42,2.98,0.0,8.96,5.17,0.0,0.0,0.0,29.0,0.0,0.0,0.0
1851,MPI-ESM1-2-LR,r10i1p1f1,historical,0.0,0.0,4.4,0.0,2.34,0.0,4.06,2.46,0.0,0.0,12.0,0.0,9.0,0.0,0.0
1851,MPI-ESM1-2-LR,r1i1p1f1,historical,3.29,3.05,3.56,4.14,0.91,0.0,0.63,2.18,0.0,0.0,0.0,0.0,6.0,0.0,0.0
1851,MPI-ESM1-2-LR,r2i1p1f1,historical,0.28,0.0,0.18,0.97,1.37,0.44,0.7,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1851,MPI-ESM1-2-LR,r3i1p1f1,historical,0.0,0.0,9.82,0.53,1.0,0.0,2.54,3.04,0.0,0.0,0.0,0.0,10.0,0.0,0.0
1851,MPI-ESM1-2-LR,r4i1p1f1,historical,3.77,0.0,0.13,3.19,15.17,0.0,6.3,6.93,0.0,0.0,0.0,0.0,6.0,0.0,0.0
1851,MPI-ESM1-2-LR,r5i1p1f1,historical,0.21,0.84,1.5,0.05,0.29,0.0,0.4,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1851,MPI-ESM1-2-LR,r6i1p1f1,historical,1.89,0.0,19.45,2.44,7.87,0.0,40.25,14.49,0.0,0.0,15.0,47.0,7.0,0.0,0.0
1851,MPI-ESM1-2-LR,r7i1p1f1,historical,0.0,0.0,3.76,1.63,1.15,0.0,0.46,1.51,0.0,0.0,0.0,0.0,6.0,0.0,0.0
1851,MPI-ESM1-2-LR,r8i1p1f1,historical,0.0,0.0,0.27,0.0,1.59,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1851,MPI-ESM1-2-LR,r9i1p1f1,historical,7.46,0.0,18.68,3.26,6.45,0.0,31.14,12.95,0.0,0.0,12.0,22.0,0.0,0.0,0.0
1852,MPI-ESM1-2-LR,r10i1p1f1,historical,1.29,0.0,0.2,0.53,1.31,0.0,0.12,0.7,0.0,0.0,0.0,7.0,6.0,0.0,0.0
1852,MPI-ESM1-2-LR,r1i1p1f1,historical,2.62,1.96,2.24,0.44,1.93,0.0,3.72,2.18,0.0,6.0,0.0,0.0,0.0,0.0,0.0
